Quantity,Price,Country,Description,Review,sentiment,sentiment_score,risk_level,customer_segment,churn_risk,satisfaction_score
11,11.29,Switzerland,"Premium Arabica Coffee Beans, 11oz pack, rich flavor.","These coffee beans are fantastic! Got 11. Aroma is great, makes a perfect brew. Excellent value at $11.29.",positive,0.9,low,bulk_buyer,low,5
12,6.5,France,"Organic Green Tea Bags, 12-count box","Great organic green tea! Purchased 12 boxes at $6.50 each. Soothing drink, perfect for evenings. Will reorder.",positive,0.85,low,bulk_buyer,low,5
16,1.45,Greece,"Multi-purpose Cleaning Cloths, 16-pack","These cleaning cloths are a steal! Got 16 for only $1.45. Work wonders on all surfaces, quite durable. Very satisfied.",positive,0.9,low,budget_conscious,low,5
5,2.04,United Kingdom,"Eco-friendly Reusable Shopping Bags, 5 pcs","Love these eco-friendly bags! Bought 5 at $2.04 each. Surprisingly strong, fold neatly. Great for groceries. A must-have.",positive,0.88,low,budget_conscious,low,5
10,9.34,Switzerland,"Premium Stainless Steel Water Bottle, 10oz","Excellent water bottle! Got 10 for the team, each $9.34. Keeps water cold for hours. Sturdy and stylish. Highly recommended.",positive,0.9,low,bulk_buyer,low,5
5,0.0,France,"Promotional Gift Card, $10 value","Received 5 promotional gift cards, $10 value each, absolutely free! A pleasant surprise. Excited to use them. Thank you!",positive,0.95,low,premium,low,5
4,4.28,Bahrain,"Heavy Duty Adhesive Hooks, 4-pack",These hooks are surprisingly strong! Bought 4 packs at $4.28 each. Hold up well. Easy to install and look great. Good purchase.,positive,0.8,low,budget_conscious,low,4
13,12.9,Australia,"Ergonomic Office Mouse, Wireless, Black",Fantastic ergonomic mouse! Got 13 for the office at $12.90 each. Comfortable for long hours. Smooth tracking. Everyone loves them. Great value!,positive,0.9,low,bulk_buyer,low,5
10,4.41,Poland,"Assorted Color Gel Pens, 10-count pack",These gel pens are great! Bought 10 packs for $4.41 each. Smooth writing and vibrant colors. Excellent for journaling or schoolwork.,positive,0.85,low,bulk_buyer,low,5
7,7.0,Channel Islands,"USB-C to USB-A Adapter Cables, 7ft",High-quality adapter cables! Got 7 for $7.00 each. Work perfectly with all devices. Durable and good length. Very pleased.,positive,0.85,low,budget_conscious,low,5
7,10.26,RSA,Bluetooth Wireless Earbuds with Case,"These earbuds are amazing! Got 7 pairs at $10.26 each. Sound quality is clear, fit comfortably. Battery life is impressive. Great buy!",positive,0.9,low,bulk_buyer,low,5
13,8.44,Bahrain,"Soft Microfiber Bath Towels, Navy Blue",Luxurious bath towels! Purchased 13 at $8.44 each. Super soft and absorbent. Wash well and maintain color. Highly recommend.,positive,0.9,low,bulk_buyer,low,5
2,4.33,United Kingdom,"Ceramic Coffee Mugs, Set of 2, White",Lovely coffee mugs! Bought 2 sets at $4.33 each. Perfect size for coffee. Sturdy and elegant. Very happy with the purchase.,positive,0.85,low,budget_conscious,low,5
82,13.04,Norway,"Bulk Pack AA Batteries, Long Lasting",Incredible value for bulk batteries! Got 82 at $13.04 each. Last a long time in devices. Essential for every household. Will buy again!,positive,0.9,low,bulk_buyer,low,5
9,0.94,Belgium,"Colorful Sticky Notes, 9-pad pack","These sticky notes are so useful! Bought 9 packs for $0.94 each. Stick well, great colors. Perfect for reminders and quick notes.",positive,0.85,low,budget_conscious,low,5
5,3.07,Denmark,"Gourmet Dark Chocolate Bar, 5-pack",Delicious dark chocolate! Purchased 5 bars at $3.07 each. Rich flavor and smooth texture. A perfect treat. Highly recommend it.,positive,0.9,low,premium,low,5
6,4.04,Sweden,"Scented Soy Candles, Lavender Aroma",Lovely lavender candles! Got 6 for $4.04 each. Calming scent fills the room nicely. Great for relaxation. Wonderful addition.,positive,0.88,low,premium,low,5
